bfs_nummer,gemeinde,total_area,score_sum,mean_score
99,Schöfflisdorf,400407.601,1359654.309,3.396
670,Neuenegg,2277111.523,7729040.058,3.394
4781,Wängi,2796619.041,9491985.408,3.394
863,Burgistein,411669.908,1397133.518,3.394
1704,Menzingen,4437872.208,15060148.627,3.394
1102,Sempach,2516221.698,8538646.627,3.393
119,Seegräben,692696.811,2350609.022,3.393
4192,Boniswil,685759.681,2327065.763,3.393
3402,Flawil,3321894.731,11271859.681,3.393
1146,Wauwil,590011.889,2001961.315,3.393
231,Zell (ZH),2012190.267,6825954.396,3.392
155,Männedorf,2885322.208,9782115.505,3.390
3218,Tübach,1219129.382,4131496.051,3.389
611,Kiesen,699728.415,2370674.169,3.388
6137,Martigny-Combe,497638.372,1685655.168,3.387
1067,Udligenswil,2308800.739,7820531.133,3.387
4047,Würenlingen,3210530.483,10873784.223,3.387
5792,Montpreveyres,2170509.048,7348353.088,3.386
4079,Unterlunkhofen,1251296.633,4235380.513,3.385
703,Reconvilier,716331.211,2424525.703,3.385
3214,Mörschwil,4167596.678,14104436.381,3.384
91,Niederweningen,1240545.443,4197749.649,3.384
2578,Gunzgen,1286234.027,4352319.041,3.384
5512,Bercher,718357.498,2430604.565,3.384
4716,Bettwiesen,721451.924,2439887.843,3.382
1501,Beckenried,2643952.562,8941449.523,3.382
137,Oberrieden,1113578.266,3765848.815,3.382
4776,Tobel-Tägerschen,1303629.387,4407104.259,3.381
956,Rüegsau,2835566.563,9585468.973,3.380
5205,Muzzano,1082475.213,3659026.768,3.380
593,Unterseen,3378558.548,11418584.179,3.380
